No,Nama Tukang,Tempat kerja,Keahliah,Daerah,Jam kerja,Harga /jam,Rating
496,Rini Permatasari,Permatasari Design dan Cetak,Design dan Cetak,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,7"
497,Toni Ningsih,Ningsih Foto dan Videografi,Foto dan Videografi,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,6"
498,Rizki Kurniawan,Kurniawan Foto dan Videografi,Foto dan Videografi,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"3,5"
499,Surya Lestari,Lestari Design dan Fotografi,Design dan Fotografi,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"3,2"
500,Ahmad Ningsih,Ningsih Foto dan Videografi,Foto dan Videografi,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,5"
501,Reza Kurniawan,Kurniawan Tukang Kayu,Tukang Kayu,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"3,5"
502,Arif Kurniawan,"Kurniawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,5"
503,Putri Saputra,Saputra Tukang Kayu,Tukang Kayu,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,8"
504,Eko Saputra,Saputra Tukang Kayu,Tukang Kayu,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,5"
505,Hendra Setiawan,Setiawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,1"
506,Putri Setiawan,Setiawan Tukang Aluminium,Tukang Aluminium,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,6"
507,Rini Gunawan,Gunawan Tukang Aluminium,Tukang Aluminium,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,9"
508,Citra Nugroho,Nugroho Design Logo,Design Logo,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,1"
509,Hadi Nugroho,Nugroho Instalasi Pipa,Instalasi Pipa,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,5"
510,Nina Kurniawan,Kurniawan Tukang AC,Tukang AC,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"3,5"
511,Rizki Utami,Utami Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"3,5"
512,Toni Hadi,Hadi Foto dan Videografi,Foto dan Videografi,Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,6"
513,Budi Kurniawan,"Kurniawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"3,2"
514,Joko Ningsih,Ningsih Design dan Cetak,Design dan Cetak,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,7"
515,Ahmad Purba,Purba Design dan Cetak,Design dan Cetak,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,8"
516,Dian Permatasari,Permatasari Instalasi Pipa,Instalasi Pipa,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,6"
517,Rini Nugroho,"Nugroho Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,8"
518,Andi Wati,Wati Design dan Cetak,Design dan Cetak,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,3"
519,Rini Hartono,Hartono Tukang Aluminium,Tukang Aluminium,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,3"
520,Reza Sari,Sari Tukang AC,Tukang AC,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,5"
521,Hadi Susanto,Susanto Instalasi Pipa,Instalasi Pipa,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"2,8"
522,Ratna Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,6"
523,Agus Gunawan,Gunawan Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,4
524,Surya Wijaya,Wijaya Instalasi Pipa,Instalasi Pipa,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"2,8"
525,Dian Utami,Utami Tukang Kayu,Tukang Kayu,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,3"
526,Rina Permatasari,Permatasari Tukang AC,Tukang AC,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"3,2"
527,Dewa Utami,Utami Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,1"
528,Rina Ningsih,Ningsih Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,1"
529,Hendra Setiawan,Setiawan Design dan Fotografi,Design dan Fotografi,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"3,2"
530,Rizki Saputra,Saputra Design Logo,Design Logo,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,4
531,Ani Hartono,Hartono Foto dan Videografi,Foto dan Videografi,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"3,5"
532,Linda Pratama,Pratama Foto dan Videografi,Foto dan Videografi,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,7"
533,Dwi Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,3"
534,Adi Hadi,Hadi Design dan Cetak,Design dan Cetak,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,3"
535,Agus Purba,Purba Design dan Cetak,Design dan Cetak,Pekalongan,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"3,5"
536,Eko Sari,Sari Tukang Aluminium,Tukang Aluminium,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,4
537,Eko Wibowo,Wibowo Design dan Cetak,Design dan Cetak,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,8"
538,Dewi Kurniawan,Kurniawan Tukang Kayu,Tukang Kayu,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"3,2"
539,Putri Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,6"
540,Arif Wati,Wati Instalasi Pipa,Instalasi Pipa,Tasikmalaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"3,2"
541,Ani Ningsih,Ningsih Foto dan Videografi,Foto dan Videografi,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,6"
542,Rizki Wati,"Wati Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"3,2"
543,Putri Ningsih,Ningsih Tukang Aluminium,Tukang Aluminium,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"3,5"
544,Yanti Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,1"
545,Sari Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,9"
546,Putri Wibowo,Wibowo Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,2"
547,Surya Wati,Wati Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,1"
548,Rizki Permatasari,Permatasari Instalasi Pipa,Instalasi Pipa,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"3,2"
549,Sinta Susanto,Susanto Tukang AC,Tukang AC,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"3,2"
550,Arief Wijaya,Wijaya Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,7"
551,Agus Susanto,Susanto Tukang Kayu,Tukang Kayu,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,6"
552,Wati Hartono,Hartono Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,9"
553,Putri Nugroho,Nugroho Design dan Cetak,Design dan Cetak,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,4
554,Rizki Susanto,"Susanto Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,5"
555,Putri Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,3"
556,Putri Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,5"
557,Budi Ningsih,Ningsih Design Logo,Design Logo,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,4
558,Joko Kurniawan,Kurniawan Design Logo,Design Logo,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"2,8"
559,Nina Permatasari,Permatasari Design Logo,Design Logo,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,9"
560,Hadi Lestari,Lestari Tukang AC,Tukang AC,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"3,2"
561,Agus Nugroho,Nugroho Design dan Cetak,Design dan Cetak,Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,9"
562,Nina Wati,Wati Foto dan Videografi,Foto dan Videografi,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,8"
563,Rina Gunawan,Gunawan Tukang Aluminium,Tukang Aluminium,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,2"
564,Joko Hartono,Hartono Tukang AC,Tukang AC,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"3,5"
565,Ratna Wati,Wati Tukang Aluminium,Tukang Aluminium,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,1"
566,Fina Nugroho,Nugroho Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"2,8"
567,Siti Permatasari,Permatasari Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,2"
568,Dewi Hartono,Hartono Tukang Aluminium,Tukang Aluminium,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"3,5"
569,Joko Wijaya,"Wijaya Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"3,5"
570,Rini Wati,"Wati Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,4
571,Budi Kurniawan,Kurniawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,6"
572,Toni Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,8"
573,Hery Saputri,Saputri Instalasi Listrik,Instalasi Listrik,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,5"
574,Linda Permatasari,"Permatasari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,1"
575,Andi Purba,Purba Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"3,5"
576,Rahayu Sari,Sari Tukang AC,Tukang AC,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,5"
577,Eko Purba,Purba Design Logo,Design Logo,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,2"
578,Budi Hadi,Hadi Design dan Cetak,Design dan Cetak,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,8"
579,Arief Saputri,Saputri Instalasi Listrik,Instalasi Listrik,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,3"
580,Sinta Kusuma,"Kusuma Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,5"
581,Toni Utami,Utami Instalasi Pipa,Instalasi Pipa,Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,2"
582,Siti Sari,Sari Tukang AC,Tukang AC,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
583,Agus Susanto,Susanto Instalasi Pipa,Instalasi Pipa,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,1"
584,Rina Pratama,Pratama Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,6"
585,Rahayu Pratama,Pratama Design Logo,Design Logo,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,7"
586,Rudi Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,3"
587,Dwi Setiawan,Setiawan Design Logo,Design Logo,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"2,8"
588,Budi Purba,Purba Design dan Cetak,Design dan Cetak,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"2,8"
589,Andi Saputra,Saputra Design dan Cetak,Design dan Cetak,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"3,5"
590,Dian Kurniawan,Kurniawan Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,6"
591,Budi Ningsih,Ningsih Instalasi Pipa,Instalasi Pipa,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,7"
592,Reza Hartono,Hartono Design dan Cetak,Design dan Cetak,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"3,5"
593,Yanti Wati,Wati Design Logo,Design Logo,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,2"
594,Reza Kurniawan,Kurniawan Instalasi Pipa,Instalasi Pipa,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,7"
595,Ratna Saputri,Saputri Instalasi Pipa,Instalasi Pipa,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,9"
596,Nina Hartono,Hartono Tukang AC,Tukang AC,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,7"
597,Ivan Lestari,Lestari Tukang AC,Tukang AC,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,9"
598,Sari Wibowo,"Wibowo Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,6"
599,Agus Permatasari,Permatasari Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"3,2"
600,Siti Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,6"
601,Hadi Hartono,Hartono Tukang Kayu,Tukang Kayu,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,9"
602,Andi Saputri,Saputri Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"2,8"
603,Yanti Utami,Utami Tukang Kayu,Tukang Kayu,Tasikmalaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"3,2"
604,Rahayu Kurniawan,Kurniawan Design Logo,Design Logo,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
605,Surya Lestari,Lestari Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,3"
606,Hery Gunawan,Gunawan Tukang Aluminium,Tukang Aluminium,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,3"
607,Arif Hartono,"Hartono Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,7"
608,Siti Saputra,Saputra Design dan Cetak,Design dan Cetak,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,5"
609,Maya Setiawan,Setiawan Instalasi Listrik,Instalasi Listrik,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,3"
610,Dewi Susanto,Susanto Tukang AC,Tukang AC,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,5"
611,Citra Sari,Sari Design Logo,Design Logo,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,5"
612,Rina Susanto,Susanto Instalasi Listrik,Instalasi Listrik,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,2"
613,Rizki Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,9"
614,Budi Ningsih,Ningsih Tukang Aluminium,Tukang Aluminium,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"3,5"
615,Dewa Kusuma,Kusuma Tukang AC,Tukang AC,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,5"
616,Joko Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,3"
617,Ahmad Nugroho,Nugroho Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,5"
618,Maya Setiawan,Setiawan Foto dan Videografi,Foto dan Videografi,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,6"
619,Siti Susanto,Susanto Tukang AC,Tukang AC,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,3"
620,Rahayu Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"2,8"
621,Surya Hadi,Hadi Design dan Cetak,Design dan Cetak,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,9"
622,Surya Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,6"
623,Hadi Kusuma,Kusuma Design Logo,Design Logo,Tasikmalaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"3,5"
624,Dewi Kurniawan,Kurniawan Tukang AC,Tukang AC,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,6"
625,Rina Saputri,Saputri Tukang Kayu,Tukang Kayu,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"3,5"
626,Sari Gunawan,Gunawan Tukang Kayu,Tukang Kayu,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,6"
627,Hendra Sari,Sari Tukang Kayu,Tukang Kayu,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,9"
628,Rina Susanto,Susanto Tukang AC,Tukang AC,Tasikmalaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,7"
629,Rahayu Setiawan,Setiawan Tukang Aluminium,Tukang Aluminium,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,8"
630,Budi Hadi,Hadi Foto dan Videografi,Foto dan Videografi,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,9"
631,Dewa Susanto,"Susanto Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,5"
632,Reza Susanto,Susanto Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,9"
633,Fitri Pratama,"Pratama Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,5"
634,Ivan Utami,Utami Tukang Kayu,Tukang Kayu,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"3,5"
635,Joko Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,8"
636,Rudi Wibowo,"Wibowo Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"3,2"
637,Surya Hadi,"Hadi Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"3,5"
638,Sari Sari,Sari Instalasi Pipa,Instalasi Pipa,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"2,8"
639,Ani Sari,Sari Design dan Fotografi,Design dan Fotografi,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,1"
640,Fina Permatasari,Permatasari Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,5"
641,Hadi Utami,Utami Foto dan Videografi,Foto dan Videografi,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"2,8"
642,Lina Susanto,Susanto Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,9"
643,Rina Wati,"Wati Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,6"
644,Joko Hartono,"Hartono Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,7"
645,Reza Nugroho,Nugroho Tukang Aluminium,Tukang Aluminium,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"3,5"
646,Toni Kurniawan,Kurniawan Tukang Kayu,Tukang Kayu,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,6"
647,Rini Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,4
648,Dewa Pratama,Pratama Design Logo,Design Logo,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,8"
649,Nina Purba,Purba Design Logo,Design Logo,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,6"
650,Dewa Wati,Wati Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"3,5"
651,Toni Wibowo,Wibowo Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,4
652,Sari Wibowo,Wibowo Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,2"
653,Nina Utami,Utami Foto dan Videografi,Foto dan Videografi,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,2"
654,Siti Saputra,Saputra Tukang Aluminium,Tukang Aluminium,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,5"
655,Rizki Susanto,Susanto Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,3"
656,Arief Wati,Wati Tukang Aluminium,Tukang Aluminium,Surabaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"3,2"
657,Dewa Saputra,Saputra Design Logo,Design Logo,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"2,8"
658,Toni Wijaya,"Wijaya Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"2,8"
659,Surya Permatasari,Permatasari Design dan Cetak,Design dan Cetak,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"2,8"
660,Dewi Wibowo,Wibowo Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,5"
661,Rahayu Hadi,Hadi Instalasi Pipa,Instalasi Pipa,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,1"
662,Eko Ningsih,Ningsih Instalasi Listrik,Instalasi Listrik,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,2"
663,Yanti Kusuma,Kusuma Instalasi Listrik,Instalasi Listrik,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,2"
